timestamps,TP9,AF7,AF8,TP10,Right AUX
1575280167.617,-1000.000,999.512,999.512,-1000.000,-416.992
1575280167.621,-175.781,999.512,999.512,-41.016,-241.211
1575280167.624,-896.484,999.512,999.512,-939.941,183.594
1575280167.628,859.375,999.512,999.512,-934.082,330.078
1575280167.632,-481.934,999.512,999.512,-9.766,48.828
1575280167.636,-1000.000,999.512,999.512,-1000.000,-363.281
1575280167.640,-151.855,999.512,999.512,-147.949,-261.230
1575280167.644,-952.148,999.512,999.512,-971.680,163.574
1575280167.648,-965.332,999.512,999.512,-902.344,318.359
1575280167.652,-174.805,999.512,999.512,134.766,55.176
1575280167.656,-1000.000,999.512,999.512,-1000.000,-346.191
1575280167.660,-234.375,999.512,999.512,-333.496,-317.383
1575280167.663,-988.281,999.512,999.512,979.004,110.840
1575280167.667,-926.758,999.512,999.512,-889.648,328.613
1575280167.671,-72.266,999.512,999.512,38.574,113.281
1575280167.675,-1000.000,999.512,999.512,-1000.000,-291.016
1575280167.679,-528.320,999.512,999.512,-761.719,-327.637
1575280167.683,842.285,999.512,999.512,579.102,38.574
1575280167.687,-843.262,999.512,999.512,-786.133,296.875
1575280167.691,-22.949,999.512,999.512,-4.395,146.484
1575280167.695,-1000.000,999.512,999.512,-1000.000,-278.809
1575280167.699,-910.156,999.512,999.512,-1000.000,-383.301
1575280167.703,345.215,999.512,999.512,-3.418,-7.324
1575280167.706,-747.070,999.512,999.512,-796.875,302.246
1575280167.710,68.848,999.512,999.512,-108.887,184.082
1575280167.714,-1000.000,999.512,999.512,-1000.000,-187.500
1575280167.718,-1000.000,999.512,999.512,-1000.000,-378.906
1575280167.722,20.996,999.512,999.512,-221.680,-95.215
1575280167.726,-742.676,999.512,999.512,-824.219,285.645
1575280167.730,172.852,999.512,999.512,-27.344,225.586
1575280167.734,-992.188,999.512,999.512,-1000.000,-160.156
1575280167.738,-1000.000,999.512,999.512,-1000.000,-377.441
1575280167.742,-167.969,999.512,999.512,-410.645,-138.184
1575280167.746,-782.715,999.512,999.512,-865.234,255.371
1575280167.749,193.848,999.512,999.512,195.312,242.676
1575280167.753,-1000.000,999.512,999.512,-1000.000,-111.328
1575280167.757,-1000.000,999.512,999.512,-1000.000,-328.613
1575280167.761,-225.098,999.512,999.512,-410.645,-144.043
1575280167.765,-795.898,999.512,999.512,-868.652,224.121
1575280167.769,375.488,999.512,999.512,305.664,294.922
1575280167.773,-938.965,999.512,999.512,-979.492,-11.719
1575280167.777,-1000.000,999.512,999.512,-1000.000,-283.203
1575280167.781,-217.773,999.512,999.512,-589.844,-163.086
1575280167.785,-840.332,999.512,999.512,996.582,193.359
1575280167.788,658.203,999.512,999.512,568.848,294.434
1575280167.792,-739.746,999.512,999.512,-908.691,-5.371
1575280167.796,-1000.000,999.512,999.512,-998.535,-293.945
