timestamps,TP9,AF7,AF8,TP10,Right AUX
1574477754.614,-13.672,35.645,18.066,-5.859,24.902
1574477754.618,-21.484,38.574,24.902,-22.949,-1.953
1574477754.622,-23.926,34.668,21.973,-19.531,6.348
1574477754.626,-18.555,31.250,15.137,-2.441,34.180
1574477754.630,-1.953,32.227,19.043,-10.742,41.016
1574477754.634,1.953,25.391,28.809,-19.043,28.320
1574477754.638,-7.324,20.996,39.062,-15.137,41.504
1574477754.642,1.953,32.715,33.691,-5.859,77.637
1574477754.646,7.324,34.668,22.949,6.836,67.871
1574477754.649,0.488,27.832,19.531,10.742,40.039
1574477754.653,-2.441,29.785,27.344,-12.207,16.113
1574477754.657,-1.953,33.203,27.344,-14.648,53.711
1574477754.661,-12.695,36.133,17.578,10.742,37.598
1574477754.665,-16.602,37.598,20.020,11.230,-16.602
1574477754.669,-6.348,39.062,32.715,-0.488,15.137
1574477754.673,-20.020,36.621,37.109,-11.230,20.020
1574477754.677,-35.645,28.809,30.762,-14.648,32.227
1574477754.681,-25.879,25.391,33.691,-8.301,61.035
1574477754.685,-15.625,29.297,35.645,3.906,42.480
1574477754.689,-7.812,32.227,23.926,-2.930,-1.953
1574477754.692,-1.465,38.574,16.602,-19.531,13.672
1574477754.696,-17.090,38.574,21.484,-21.973,28.320
1574477754.700,-29.297,23.926,30.273,-7.324,-4.883
1574477754.704,-13.184,18.066,29.297,-0.488,1.953
1574477754.708,-2.441,28.809,29.785,-12.207,33.691
1574477754.712,-14.648,33.203,39.551,-13.184,41.016
1574477754.716,-27.344,27.832,41.016,-15.625,18.555
1574477754.720,-20.996,24.414,36.133,-21.484,-7.812
1574477754.724,-14.160,23.438,30.273,-14.160,36.621
1574477754.728,-10.742,22.461,26.367,8.301,48.340
1574477754.731,-9.766,21.973,31.738,-3.418,39.551
1574477754.735,-24.414,23.926,26.855,-27.832,23.438
1574477754.739,-34.668,26.367,22.949,-21.484,0.488
1574477754.743,-12.695,29.297,41.992,-13.184,10.254
1574477754.747,4.395,26.367,47.363,-0.977,1.953
1574477754.751,2.441,23.926,34.668,3.418,-62.988
1574477754.755,-3.906,26.855,33.203,-5.859,-67.383
1574477754.759,-12.207,30.273,41.016,-8.301,-57.617
1574477754.763,-1.953,35.645,41.992,-12.207,-19.043
1574477754.767,15.137,34.180,42.480,-14.160,64.453
1574477754.771,21.973,31.738,42.480,-6.836,-12.695
1574477754.774,16.113,36.621,40.039,-1.465,-77.148
1574477754.778,-4.395,35.156,35.156,-15.137,-25.879
1574477754.782,-7.812,33.203,23.438,-16.113,28.809
1574477754.786,0.000,29.297,29.297,-5.859,54.199
1574477754.790,-9.277,26.367,35.156,-18.066,33.691
1574477754.794,-30.273,30.762,28.809,-17.090,41.016
1574477754.798,-38.574,33.691,30.762,-12.695,-6.836
1574477754.802,-24.414,36.133,32.227,-15.625,-0.488
1574477754.806,-15.625,34.180,31.738,-2.930,76.660
1574477754.810,-13.184,35.156,28.809,12.207,31.250
1574477754.814,-16.113,35.156,27.344,8.789,-11.719
1574477754.817,-20.020,28.320,36.133,-0.977,-4.395
1574477754.821,-13.672,27.832,30.762,-1.953,37.598
1574477754.825,-12.207,33.203,16.113,-8.789,57.617
1574477754.829,-16.602,34.180,21.484,-20.020,47.852
1574477754.833,-18.066,29.297,30.762,-17.090,39.551
1574477754.837,-31.738,26.367,27.344,-10.742,7.812
1574477754.841,-35.156,23.926,28.809,-28.809,-30.273
1574477754.845,-18.555,24.414,25.391,-31.738,-38.086
1574477754.849,-4.395,26.367,17.090,-19.531,37.109
1574477754.853,0.977,25.879,23.438,-7.812,65.430
1574477754.856,-2.930,31.250,27.344,-8.789,20.508
1574477754.860,-18.066,30.762,22.949,-33.203,64.941
1574477754.864,-18.555,29.785,24.902,-47.852,66.895
1574477754.868,-6.836,31.738,31.738,-41.016,-13.184
1574477754.872,-5.859,30.273,32.227,-30.762,25.879
1574477754.876,-16.602,32.715,30.273,-32.715,29.785
1574477754.880,-21.973,36.621,29.785,-26.855,-25.391
1574477754.884,-12.207,39.062,24.414,-11.719,2.441
1574477754.888,-4.395,32.715,22.949,-18.066,21.484
1574477754.892,-15.137,28.809,22.949,-18.066,28.320
1574477754.896,-29.785,29.785,17.578,-2.930,1.465
1574477754.899,-30.762,29.297,14.648,-10.254,-44.434
1574477754.903,-20.020,30.762,28.809,-28.809,2.930
1574477754.907,-20.020,30.762,22.461,-24.902,59.082
1574477754.911,-37.109,26.855,11.230,-18.555,59.570
1574477754.915,-52.246,24.902,26.367,-15.625,37.109
1574477754.919,-53.223,24.414,33.691,-28.320,30.762
1574477754.923,-41.992,20.996,31.250,-28.809,23.926
1574477754.927,-28.320,26.367,29.297,-2.441,-4.395
1574477754.931,-18.555,27.832,26.367,-5.371,-13.184
1574477754.935,-23.438,23.926,18.555,-17.090,38.086
1574477754.938,-18.555,38.086,24.902,-5.859,35.645
1574477754.942,-0.488,47.363,33.691,7.324,17.578
1574477754.946,-2.930,30.273,24.902,-4.883,60.059
1574477754.950,-7.324,28.809,23.438,-11.719,48.340
1574477754.954,-11.230,38.086,24.414,-8.789,46.387
1574477754.958,-23.926,40.527,17.578,-20.508,66.406
1574477754.962,-16.602,48.828,25.391,-14.160,34.180
1574477754.966,-5.371,45.410,30.273,-7.324,-15.137
1574477754.970,3.906,36.621,20.996,-12.207,42.480
1574477754.974,2.930,40.039,24.414,-2.930,70.801
1574477754.978,-3.906,42.480,35.645,-18.555,3.418
